Username,Create time,Teks
mapedos01,Tue Feb 25 00:08:01 +0000 2025,Feri Amsari: Sampai detik ini saya tidak pernah percaya Rezim ini akan menegakan hukum.... #indonesia #IndonesiaGelap https://t.co/gUxLZLS93W
ariefrasyad,Sun Feb 23 04:35:22 +0000 2025,Mau tau kenapa aksi besar2an #IndonesiaGelap ngga diliput bnyk media massa indonesia? https://t.co/1DvClbVLIR
PakarINTELek,Mon Feb 17 10:27:25 +0000 2025,#IndonesiaGelap segelap masa depan mereka. Mereka hanya diajak untuk kenyang tanpa perlu menjadi pintar dan berprestasi. Menyedihkan nasib Indonesia... https://t.co/X8RCMLEyOb
suluhpergerakan,Mon Feb 24 04:58:28 +0000 2025,You can love your country without loving the government #IndonesiaGelap #JogjaMemanggil https://t.co/4A2ts8En1b
weeklywelly,Fri Feb 21 09:11:49 +0000 2025,semua harus tahu kelakuanmu kayak asu #indonesiagelap #1312 #kamibersamasukatani https://t.co/xZsvOLsYTC
voaindonesia,Fri Feb 21 23:01:12 +0000 2025,Sejumlah pekerja mengaku rela cuti untuk mengikuti demonstrasi Indonesia Gelap di kawasan Patung Kuda Medan Merdeka Jakarta Jumat (21/2). VOA juga menemui seorang ayah yang membawa serta keluarganya dan mahasiswi yang mengisi masa liburnya dengan ikut berunjuk rasa. Demo https://t.co/9q8pEysZOj
owengwenggg,Tue Feb 25 10:21:19 +0000 2025,Well #ArtistBersuara #IndonesiaGelap https://t.co/kmmTUK4iir
aqila_san21,Fri Feb 21 06:02:00 +0000 2025,Amarah dan Dendam 1/2 #ArtistBersuara #IndonesiaGelap https://t.co/e8TGqORMlj
kuwiracer,Fri Feb 21 10:16:40 +0000 2025,Jakarta 21 Februari #IndonesiaGelap https://t.co/e5PFmUjU9g
tanyarlfes,Wed Feb 26 06:50:14 +0000 2025, ilustrasi yg menggambarkan yg liat Indonesia gelap tuh siapa? HAHAHAHAHAH https://t.co/bgCYMVOmi2
rgantas,Fri Feb 21 01:57:18 +0000 2025,Foto yang sangat powerful. #IndonesiaGelap https://t.co/ASFG02YLiB
yaniarsim,Wed Feb 26 11:00:51 +0000 2025,Gelap Gempita Indonesia. Habis korupsi 300 T Terbitlah 193 7 T Siap-siap Danantara #IndonesiaGelap https://t.co/yZm3NBOvql
eradotid,Fri Feb 21 11:57:58 +0000 2025,Terpantau bom molotov dilemparkan di tengah demo oleh terduga provokator~ Stay safe yaa ERAmania yang turun ke jalan!! #IndonesiaGelap Video: ERA/Sachril https://t.co/Kb8gj7CQPa
BosPurwa,Fri Feb 28 13:14:23 +0000 2025,Kurang asyem tuh Pak @prabowo yang bilang #IndonesiaGelap yang bener kan #IndonesiaGelapBanget https://t.co/Cq3t6q3I1N
RanggaWidigda,Mon Feb 17 10:36:10 +0000 2025,#IndonesiaGelap seharusnya jadi tamparan yang sangat keras untuk pemerintah. Belom ada setahun menjabat mereka udah berhasil bikin masyarakat pesimis sama masa depan bangsa. https://t.co/L46trfFiyF
kevinpramudya_,Fri Feb 21 08:39:04 +0000 2025,15:30 demonstran tiarap sebagai simbol bahwa Indonesia sedang darurat. #IndonesiaGelap https://t.co/Jhs7aWA2R0
NenkMonica,Fri Feb 21 08:49:16 +0000 2025,#IndonesiaGelap dari Patung kuda. https://t.co/vEvMxfB0PF
liaasister,Wed Feb 26 11:46:51 +0000 2025,Pada aksi demonstrasi #IndonesiaGelap di jakarta yang lalu ada seorang yang usaha nya membuat dan menjual roti yang menunjukkan dukungan dengan membagikan ribuan roti secara gratis kepada para peserta aksi beliau adalah Abang Muhammad Ma aruf. Banyak netizen yang https://t.co/MJODxhkFUD
jackjackparrr,Sat Feb 22 07:12:06 +0000 2025,Dapat kabar bahwa ada pengadaan drone dengan pelontar gas air mata. Drone ini Matrice 600 harganya 75jt dipake buat usir rakyat yg lagi menyampaikan aspirasi. Yang padahal belinya pake juga uang pajak rakyat. #IndonesiaGelap https://t.co/EOdZvY8hYk
Mdy_Asmara1701,Sat Feb 22 07:18:26 +0000 2025,Menyala suara ibu Cemilan gratis dari ibu-ibu untuk peserta aksi #IndonesiaGelap Dari rakyat untuk rakyat ️ https://t.co/bWEG11Tl7D
ch_chotimah2,Fri Feb 21 02:23:35 +0000 2025,Ternyata perusahaan pun juga memilih #KaburAjaDulu. #IndonesiaGelap itu nyata. Kalo rezim dan buzzernya bilang terang ingat rumus kembalikannya. Badai PHK Kemenperin Benarkan PT Sanken MM2100 Bakal Berhenti Produksi Juni 2025 Pindah ke Negara Lain. https://t.co/jgz6DrecgX https://t.co/53BIlWzkcu
MurtadhaOne1,Sat Feb 22 16:35:16 +0000 2025,Kebebasan Berekspresi Terancam #IndonesiaGelap https://t.co/prl1WC57OV
akbarfaizal68,Fri Feb 28 06:06:31 +0000 2025,Siapa bilang #Indonesiagelap? Ndasmu. Ini #gelapbanget namanya.
adtyputrprat,Sat Feb 22 01:06:20 +0000 2025,Patung Kuda 21 2 25 #IndonesiaGelap https://t.co/AkKcZwYTuN
wisnu_prasetya,Sat Feb 22 01:14:16 +0000 2025,3 hari ini CNN Indonesia lebih menunjukkan simpati ke Nikita Mirzani drpd ke aksi-aksi Indonesia Gelap. This is an example of agenda-setting in action. https://t.co/pqzmZ1eLzr
lambepaklurah,Sat Feb 22 14:10:50 +0000 2025,langsung nyanyi di depan polisi #KamiBersamaSukatani #Sukatani #IndonesiaGelap https://t.co/CUvUeHJ8ql
ibanibunn,Fri Feb 21 10:33:38 +0000 2025,hujan bukan penghalang untuk mengganyang fufufafa #IndonesiaGelap https://t.co/KKwij4OxrO
logos_id,Fri Feb 21 08:41:16 +0000 2025,#IndonesiaGelap https://t.co/EbyZS9pH0M
